sku,name,old_image,new_image,source,confidence,status
FAMALL-002,BERCLEAN Моющее средство для мытья посуды с экстрактом лимона,assets/images/products/placeholder.svg,assets/images/products/2-berclean-moyuschee-sredstvo-dlya-mytya-posudy-s-ekstraktom-limona.jpg,project/local-file,0.950,updated
FAMALL-003,BERCLEAN Моющее средство для мытья посуды с экстрактом апельсина,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.941,needs-review
FAMALL-004,BERCLEAN Жидкость для мытья посуды с экстрактом бамбука,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.752,needs-review
FAMALL-005,Многофункциональные одноразовые салфетки из бамбука,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.680,needs-review
FAMALL-006,Уплотненные пищевые пакеты для хранения продуктов р-р 25*35/,assets/images/products/famall-006-famallnetwork.jpg,,,0.000,not-found
FAMALL-007,"Набор салфеток для мытья посуды и уборки р-р 25*25, 3 штуки",assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.826,needs-review
FAMALL-008,OKFAD Набор для очищения,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-009,Сжатое полотенце из хлопка 22 штуки в наборе,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-011,MIAOROU Влажные салфетки для кухнир-р 20*25,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.643,needs-review
FAMALL-012,Очиститель барабана стиральной машины 3 шт *,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.677,needs-review
FAMALL-013,"BERCLEAN Шарики для защиты цвета, аромат природы",assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.596,needs-review
FAMALL-014,"BERCLEAN Шарики для защиты цвета, аромат сакуры",assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.602,needs-review
FAMALL-015,"BERCLEAN Шарики для защиты цвета, аромат цветов",assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.602,needs-review
FAMALL-016,BERCLEAN Жидкость для стирки/ автомат,assets/images/products/famall-016-famallnetwork.jpg,assets/images/products/16-berclean-zhidkost-dlya-stirki-avtomat.jpg,project/local-file,0.950,updated
FAMALL-017,BERCLEAN Жидкость для стирки/ ручная стирка/ машинная,assets/images/products/famall-017-famallnetwork.jpg,,project/local-file-fuzzy,0.727,needs-review
FAMALL-018,Miubaby специальное средство для стирки детских вещей,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-020,Быстродействующий гель для чистки унитазав(усиленный),assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-021,"Средство для чистки унитаза ""Утенок""",assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.664,needs-review
FAMALL-022,YIJIAN COOL Холодная водорослевая зубная паста без фтора со вкусом Лунцзин и мяты,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-029,"Miubaby ДЕТСКАЯ Уход за деснами, зубами, профилактическая зубная паста",assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.580,needs-review
FAMALL-030,YIJIAN Травянная зубная паста,assets/images/products/famall-030-famallnetwork.jpg,assets/images/products/30-yijian-travyannaya-zubnaya-pasta.png,project/local-file,0.950,updated
FAMALL-032,OKFAD Зубная щетка для глубокой чистки зубов 2 штуки в наборе,assets/images/products/placeholder.svg,assets/images/products/32-okfad-zubnaya-schetka-dlya-glubokoy-chistki-zubov-2-shtuki-v-nabore.png,project/local-file,0.950,updated
FAMALL-033,LIMANCY Антисептическая массажная жидкость с китайской травами,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-035,LIMANCY Крем для рук (фруктовый микс/спокойствие),assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.844,needs-review
FAMALL-036,LIMANCY Антиперспирант шариковый,assets/images/products/famall-036-famallnetwork.jpg,assets/images/products/36-limancy-antiperspirant-sharikovyy.jpg,project/local-file,0.950,updated
