id,brand,title,category,description,volume,retail_price,partner_price,image,source_image,source_page,needs_review
catalog-409-1,LIMANCY,"Увлажняющая Воздушная Подушка 001-Ярко-Белый Консилер Легкий и светлый, как будто вы не наносите макияж",Декоративная косметика,"Одна коробочка, много полезных свойств. Консилер и уход за Увлажняющий, Высокая степень покрытия Легко увлажняет, Шелковистая и мягкая, Легкий и полупрозрачный;Водостойкий Технология тройной гидрофобной обработки цветной Увеличивает покрытие продукта, обеспечивает шелковистое и гладкое Подберите для себя подходящий оттенок: #001 Ярко-Белый: Подходит для обладательниц светлой кожи и тех, кто предпочитает более яркий макияж:",,,,assets/img/products/catalog-409-1.jpg,assets/catalog-source/img409.jpg,409,False
catalog-409-2,LIMANCY,"Увлажняющая Воздушная Подушка 002-Натуральный Консилер Легкий и светлый, как будто вы не наносите макияж",Декоративная косметика,"Одна коробочка, много полезных свойств. Консилер и уход за Увлажняющий; Высокая степень покрытия, Легко увлажняет, Шелковистая и мягкая, Легкий и полупрозрачный; Водостойкий Технология тройной гидрофобной обработки цветной Увеличивает покрытие продукта, обеспечивает шелковистое и гладкое Подберите для себя подходящий оттенок: #002 Натуральный: Подходит для темных тонов кожи или для тех, кто хочет",,,,assets/img/products/catalog-409-2.jpg,assets/catalog-source/img409.jpg,409,False
catalog-411-1,LIMANCY,крем для тела и ненакрашенного лица Нежная кремовая текстура | естественное затемнение нет необходимости снимать макняж | чистый и приятный аромат,Декоративная косметика,"Множество эффектов, питает естественную кожу: Предотвращает отслаивание пота и макияжа Цвет натуральный, а не искусственно белый Увлажняет и не оставляет жирного блеска Наносит на кожу, не допуская прилипания пудры Уровень увлажненности лосьона Макияж и уход два в одном",,,,assets/img/products/catalog-411-1.jpg,assets/catalog-source/img411.jpg,411,true
catalog-411-2,LIMANCY,Чистый и безупречный консилерной крем Маскирует дефекты кожиделает ее чистой и увлажненной не липкой и не жирной подходит по текстуре и скрывает недостатки,Декоративная косметика,"Изменяет тон кожи, скрывает темные пятна, создает Разглаживает поры, текстура крема легко впитывается в кожу. создавая ощущение легкости и красивый макияж. Делает кожу влажной и сияющей, увлажняет и сохраняет ее светлой, легкая и менее склонной к прилипанию пудры. Консилер для ухода за кожей с различными Ниацинамид смягчает кожу и помогает сохранить макияж Сквалан и глутатион увлажняют и питают кожу, улучшают ее",50 г,,,assets/img/products/catalog-411-2.jpg,assets/catalog-source/img411.jpg,411,False
catalog-412-1,LIMANCY,"Карандаш для бровей использует более плоский край для мягких трихов, для создания естественного вида,",Декоративная косметика,"пответствует форме бровей, не размазывается, и легко создает очаровательный макияж бровей.",,,,assets/img/products/catalog-412-1.jpg,assets/catalog-source/img412.jpg,412,False
catalog-413-1,LIMANCY,Жидкая подводка для глаз Дает четкую линию с первого взмаха Пигмент быстро высыхает на коже,Декоративная косметика,Специальный водоотталкивающий макияж Позволяет добиться идеально тонких линий. Нелегко размывается. Легко рисует четкие стрелки.,"0,5 мл",,,assets/img/products/catalog-413-1.jpg,assets/catalog-source/img413.jpg,413,False
catalog-414-1,LIMANCY,"Губная помада телесного цвета Цветовой код: 001 Атмосферные оттенки, ретро и мягкие, для пухлых губ",Декоративная косметика,"Текстурированный дизайн с оттенком класса Минималистский эстетичный дизайн корпуса тубуса в подходящей сине-золотой цветовой гамме. Специальная маститая застежко с тикритом для песково крепления и Нелипкий тон, мягкая текстура, шелковистая гладкость и не",,,,assets/img/products/catalog-414-1.jpg,assets/catalog-source/img414.jpg,414,False
catalog-414-2,LIMANCY,"Губная помада телесного цвета Цветовой код: 002 Атмосферные оттенки, ретро и мягкие, для пухлых губ",Декоративная косметика,"Текстурированный дизайн с оттенком класса Минимапистский эстетичный дизайн корпуса тубуса в подходящей сине-золотой цветовой гамме. Специальная магнитная застежка стикино для легкого крепления и Нелипкий тон, мягкая текстура, шелковистая гладкость и не",,,,assets/img/products/catalog-414-2.jpg,assets/catalog-source/img414.jpg,414,False
catalog-415-1,LIMANCY,Бальзам для губ Питает и увлажняет губы. Делает цвет губ более насыщен-,Декоративная косметика,ным. Бальзам богат различными растительными маслами и жира- ми для увлажнения и защиты губ. Бальзам на губах будет менять свой цвет в зависимости от темпе- ратуры тела и значения рН кожи.,"2,8 г",,,assets/img/products/catalog-415-1.jpg,assets/catalog-source/img415.jpg,415,true
catalog-415-2,LIMANCY,Бальзам для губ Питает и увлажняет губы. Делает цвет губ более насыщен-,Декоративная косметика,ным. Бальзам богат различными растительными маслами и жира- ми для увлажнения и защиты губ. Бальзам на губах будет менять свой цвет в зависимости от темпе- ратуры тела и значения рн кожи.,"2,8 г",,,assets/img/products/catalog-415-2.jpg,assets/catalog-source/img415.jpg,415,False
